235,235,235,1,Random_500
43,134,75,2,
16,138,100,3,
16,174,141,4,
16,207,153,5,
163,209,215,6,
224,224,224,7,
155,142,168,8,
187,151,176,9,
108,16,16,10,
120,16,16,11,
131,16,16,12,
143,16,16,13,
154,16,16,14,
165,16,16,15,
177,16,16,16,
189,16,16,17,
201,16,16,18,
235,16,16,19,
235,16,59,20,
235,79,196,21,
235,235,202,22,
67,92,88,23,
64,170,87,24,
77,212,99,25,
192,215,208,26,
235,213,205,27,
74,74,74,28,
77,147,98,29,
16,86,16,30,
16,235,16,31,
92,235,16,32,
146,235,16,33,
16,108,16,34,
16,177,16,35,
16,189,16,36,
16,201,16,37,
16,212,16,38,
16,224,16,39,
16,235,90,40,
60,44,16,41,
58,49,38,42,
118,44,68,43,
149,51,88,44,
188,56,85,45,
189,135,104,46,
139,120,79,47,
235,172,74,48,
235,207,74,49,
235,235,98,50,
196,206,81,51,
16,16,97,52,
16,16,143,53,
16,16,189,54,
189,16,235,55,
235,16,235,56,
16,16,16,57,
16,16,27,58,
16,16,74,59,
59,49,207,60,
121,46,206,61,
159,66,211,62,
235,172,235,63,
235,208,235,64,
120,120,120,65,
135,157,162,66,
175,235,179,67,
206,235,212,68,
127,99,76,69,
177,145,92,70,
210,148,92,71,
209,166,134,72,
189,154,159,73,
202,179,165,74,
214,178,183,75,
195,16,122,76,
235,16,124,77,
235,78,123,78,
53,43,154,79,
45,180,167,80,
95,182,170,81,
96,212,189,82,
135,202,187,83,
102,165,142,84,
154,189,153,85,
157,188,180,86,
171,214,183,87,
203,216,189,88,
106,107,16,89,
122,145,16,90,
211,148,139,91,
235,165,139,92,
135,16,58,93,
179,16,87,94,
235,16,92,95,
235,154,189,96,
235,185,205,97,
16,120,16,98,
16,131,16,99,
98,191,109,100,
172,208,107,101,
207,216,122,102,
192,177,139,103,
189,194,160,104,
53,71,85,105,
50,89,112,106,
68,110,141,107,
82,128,185,108,
85,130,235,109,
110,180,235,110,
44,54,36,111,
53,57,16,112,
84,59,66,113,
186,120,67,114,
120,81,55,115,
116,97,49,116,
154,111,50,117,
176,132,49,118,
16,16,154,119,
16,16,165,120,
16,16,177,121,
109,78,204,122,
146,100,214,123,
182,116,235,124,
103,53,108,125,
162,56,170,126,
211,62,171,127,
214,57,213,128,
73,46,69,129,
97,97,97,130,
108,108,108,131,
121,127,171,132,
150,151,196,133,
172,177,209,134,
51,75,60,135,
44,96,65,136,
60,171,114,137,
135,170,151,138,
163,185,199,139,
37,51,59,140,
16,44,61,141,
41,68,68,142,
54,123,214,143,
82,155,235,144,
82,195,235,145,
103,129,156,146,
117,135,213,147,
96,77,114,148,
101,74,135,149,
122,212,173,150,
147,214,235,151,
16,79,118,152,
16,101,118,153,
16,109,151,154,
16,135,153,155,
16,150,193,156,
69,197,202,157,
189,189,189,158,
201,201,201,159,
212,212,212,160,
86,86,86,161,
81,103,85,162,
129,103,128,163,
52,38,86,164,
69,16,93,165,
141,177,114,166,
170,183,164,167,
134,143,125,168,
161,164,136,169,
185,208,147,170,
97,16,16,171,
117,60,39,172,
132,65,16,173,
176,62,149,174,
212,98,177,175,
235,129,202,176,
159,112,143,177,
192,118,171,178,
92,16,51,179,
90,16,73,180,
171,16,135,181,
190,16,177,182,
113,16,149,183,
116,82,171,184,
141,129,235,185,
75,80,104,186,
145,77,115,187,
174,84,140,188,
235,114,168,189,
86,16,16,190,
174,99,16,191,
187,130,16,192,
194,165,16,193,
235,235,16,194,
152,147,89,195,
165,171,117,196,
27,16,16,197,
27,27,27,198,
45,44,67,199,
68,60,96,200,
101,122,132,201,
131,131,131,202,
62,62,62,203,
74,86,61,204,
98,93,74,205,
154,97,114,206,
173,126,121,207,
39,16,16,208,
16,39,16,209,
16,50,16,210,
62,80,208,211,
189,77,235,212,
235,89,235,213,
235,129,235,214,
143,143,143,215,
159,214,150,216,
75,127,68,217,
102,158,79,218,
94,75,16,219,
94,74,66,220,
114,69,68,221,
176,93,104,222,
200,121,112,223,
71,68,45,224,
