16,16,16,0 Black,CM 10-Point Luminance
38,38,38,10 Gray,
60,60,60,20 Gray,
82,82,82,30 Gray,
104,104,104,40 Gray,
126,126,126,50 Gray,
147,147,147,60 Gray,
169,169,169,70 Gray,
191,191,191,80 Gray,
213,213,213,90 Gray,
235,235,235,100 White,
38,16,16,10 Red,
60,16,16,20 Red,
82,16,16,30 Red,
104,16,16,40 Red,
126,16,16,50 Red,
147,16,16,60 Red,
169,16,16,70 Red,
191,16,16,80 Red,
213,16,16,90 Red,
235,16,16,100 Red,
16,38,16,10 Green,
16,60,16,20 Green,
16,82,16,30 Green,
16,104,16,40 Green,
16,126,16,50 Green,
16,147,16,60 Green,
16,169,16,70 Green,
16,191,16,80 Green,
16,213,16,90 Green,
16,235,16,100 Green,
16,16,38,10 Blue,
16,16,60,20 Blue,
16,16,82,30 Blue,
16,16,104,40 Blue,
16,16,126,50 Blue,
16,16,147,60 Blue,
16,16,169,70 Blue,
16,16,191,80 Blue,
16,16,213,90 Blue,
16,16,235,100 Blue,
16,38,38,10 Cyan,
16,60,60,20 Cyan,
16,82,82,30 Cyan,
16,104,104,40 Cyan,
16,126,126,50 Cyan,
16,147,147,60 Cyan,
16,169,169,70 Cyan,
16,191,191,80 Cyan,
16,213,213,90 Cyan,
16,235,235,100 Cyan,
38,16,38,10 Magenta,
60,16,60,20 Magenta,
82,16,82,30 Magenta,
104,16,104,40 Magenta,
126,16,126,50 Magenta,
147,16,147,60 Magenta,
169,16,169,70 Magenta,
191,16,191,80 Magenta,
213,16,213,90 Magenta,
235,16,235,100 Magenta,
38,38,16,10 Yellow,
60,60,16,20 Yellow,
82,82,16,30 Yellow,
104,104,16,40 Yellow,
126,126,16,50 Yellow,
147,147,16,60 Yellow,
169,169,16,70 Yellow,
191,191,16,80 Yellow,
213,213,16,90 Yellow,
235,235,16,100 Yellow,
