16,16,16,0 Black,CM 10-Point Saturation (100AMP)
235,235,235,100 White,
235,198,198,10 Red,
235,169,169,20 Red,
235,147,147,30 Red,
235,130,130,40 Red,
235,115,115,50 Red,
235,101,101,60 Red,
235,86,86,70 Red,
235,73,73,80 Red,
235,55,55,90 Red,
235,16,16,100 Red,
211,235,211,10 Green,
191,235,191,20 Green,
171,235,171,30 Green,
156,235,156,40 Green,
139,235,139,50 Green,
123,235,123,60 Green,
106,235,106,70 Green,
88,235,88,80 Green,
69,235,69,90 Green,
16,235,16,100 Green,
211,211,235,10 Blue,
191,191,235,20 Blue,
174,174,235,30 Blue,
156,156,235,40 Blue,
139,139,235,50 Blue,
123,123,235,60 Blue,
108,108,235,70 Blue,
88,88,235,80 Blue,
69,69,235,90 Blue,
16,16,235,100 Blue,
222,235,235,10 Cyan,
209,235,235,20 Cyan,
196,235,235,30 Cyan,
182,235,235,40 Cyan,
167,235,235,50 Cyan,
152,235,235,60 Cyan,
132,235,235,70 Cyan,
112,235,235,80 Cyan,
86,235,235,90 Cyan,
16,235,235,100 Cyan,
235,220,235,10 Magenta,
235,204,235,20 Magenta,
235,187,235,30 Magenta,
235,171,235,40 Magenta,
235,156,235,50 Magenta,
235,141,235,60 Magenta,
235,123,235,70 Magenta,
235,104,235,80 Magenta,
235,80,235,90 Magenta,
235,16,235,100 Magenta,
235,235,220,10 Yellow,
235,235,202,20 Yellow,
235,235,187,30 Yellow,
235,235,171,40 Yellow,
235,235,156,50 Yellow,
235,235,141,60 Yellow,
235,235,123,70 Yellow,
235,235,104,80 Yellow,
235,235,77,90 Yellow,
235,235,16,100 Yellow,
