0,0,0,0,LG 2016 Tone Curve Targets[nits] - 540 nit master/Target
32,32,32,0.14,
64,64,64,3.17,
80,80,80,9.09,
97,97,97,22.58,
105,105,105,34.37,
113,113,113,50.79,
117,117,117,61.44,
121,121,121,73.24,
125,125,125,88.11,
128,128,128,104.56,
132,132,132,125.23,
136,136,136,148.03,
140,140,140,176.66,
144,144,144,208.2,
148,148,148,247.73,
152,152,152,291.26,
156,156,156,345.77,
159,159,159,405.75,
163,163,163,480.85,
167,167,167,1,
