16,16,16,0,LG UK65xx Tone Curve Targets[nits] 1000 nit master/Target
62,62,62,213,
74,74,74,273,
87,87,87,334,
94,94,94,365,
100,100,100,395,
104,104,104,410,
107,107,107,424,
110,110,110,439,
113,113,113,454,
116,116,116,469,
120,120,120,484,
123,123,123,499,
126,126,126,513,
129,129,129,529,
133,133,133,545,
137,137,137,565,
142,142,142,587,
147,147,147,613,
154,154,154,644,
235,235,235,1023,
