16,16,16,0 Black,CM 10-Point Saturation (75AMP)
235,235,235,100 White,
180,152,152,10 Red,
180,132,132,20 Red,
180,115,115,30 Red,
180,101,101,40 Red,
180,90,90,50 Red,
180,80,80,60 Red,
180,69,69,70 Red,
180,58,58,80 Red,
180,44,44,90 Red,
180,16,16,100 Red,
163,180,163,10 Green,
147,180,147,20 Green,
134,180,134,30 Green,
121,180,121,40 Green,
108,180,108,50 Green,
97,180,97,60 Green,
84,180,84,70 Green,
71,180,71,80 Green,
55,180,55,90 Green,
16,180,16,100 Green,
163,163,180,10 Blue,
147,147,180,20 Blue,
134,134,180,30 Blue,
121,121,180,40 Blue,
108,108,180,50 Blue,
97,97,180,60 Blue,
84,84,180,70 Blue,
71,71,180,80 Blue,
55,55,180,90 Blue,
16,16,180,100 Blue,
171,180,180,10 Cyan,
161,180,180,20 Cyan,
150,180,180,30 Cyan,
141,180,180,40 Cyan,
130,180,180,50 Cyan,
117,180,180,60 Cyan,
104,180,180,70 Cyan,
88,180,180,80 Cyan,
69,180,180,90 Cyan,
16,180,180,100 Cyan,
180,167,180,10 Magenta,
180,156,180,20 Magenta,
180,145,180,30 Magenta,
180,132,180,40 Magenta,
180,121,180,50 Magenta,
180,110,180,60 Magenta,
180,97,180,70 Magenta,
180,82,180,80 Magenta,
180,62,180,90 Magenta,
180,16,180,100 Magenta,
180,180,167,10 Yellow,
180,180,156,20 Yellow,
180,180,145,30 Yellow,
180,180,132,40 Yellow,
180,180,121,50 Yellow,
180,180,108,60 Yellow,
180,180,95,70 Yellow,
180,180,82,80 Yellow,
180,180,62,90 Yellow,
180,180,16,100 Yellow,
